epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,489.813,1.12671,0.58511,0.97421,0.83111,0.79465,0.84008,0.44124,1.54229,0.78712,1.16678,0.0007195,0.0007195,0.0007195
87,494.976,1.13105,0.57663,0.96577,0.83344,0.78238,0.84504,0.45473,1.51893,0.73086,1.15765,0.0007162,0.0007162,0.0007162
88,499.874,1.12582,0.57775,0.96847,0.87537,0.7807,0.85447,0.46852,1.48912,0.74799,1.1365,0.0007129,0.0007129,0.0007129
89,504.856,1.10855,0.57118,0.97109,0.82272,0.80939,0.85132,0.45067,1.538,0.76189,1.14363,0.0007096,0.0007096,0.0007096
90,510.22,1.11727,0.57787,0.9649,0.85556,0.7827,0.85123,0.46705,1.50178,0.74748,1.12384,0.0007063,0.0007063,0.0007063
91,515.47,1.12089,0.57216,0.95911,0.85336,0.78438,0.858,0.43311,1.57375,0.7512,1.18998,0.000703,0.000703,0.000703
92,520.776,1.1142,0.56735,0.96113,0.8706,0.80121,0.86038,0.44888,1.55628,0.73876,1.21438,0.0006997,0.0006997,0.0006997
93,525.978,1.10572,0.56944,0.96374,0.86676,0.76724,0.84475,0.46924,1.49938,0.76156,1.14271,0.0006964,0.0006964,0.0006964
94,531.233,1.09241,0.5625,0.95908,0.84686,0.78414,0.84798,0.46232,1.50295,0.76414,1.14041,0.0006931,0.0006931,0.0006931
95,536.438,1.09862,0.56436,0.96631,0.83204,0.78909,0.83851,0.44604,1.57286,0.77934,1.16692,0.0006898,0.0006898,0.0006898
96,541.619,1.08876,0.5644,0.95827,0.83336,0.77305,0.84417,0.43934,1.58788,0.75394,1.19429,0.0006865,0.0006865,0.0006865
97,546.812,1.09228,0.56023,0.95451,0.84333,0.78467,0.856,0.42769,1.63231,0.76643,1.21554,0.0006832,0.0006832,0.0006832
98,551.73,1.06936,0.54662,0.955,0.85076,0.76843,0.84213,0.43468,1.64349,0.73381,1.2454,0.0006799,0.0006799,0.0006799
99,556.942,1.09439,0.56077,0.94802,0.8364,0.77582,0.85124,0.46013,1.51948,0.75856,1.12352,0.0006766,0.0006766,0.0006766
100,562.144,1.10222,0.55882,0.95659,0.8169,0.77069,0.82321,0.42835,1.59653,0.79212,1.17102,0.0006733,0.0006733,0.0006733
101,567.123,1.08859,0.55815,0.95514,0.82005,0.78836,0.83988,0.44017,1.59839,0.78699,1.19568,0.00067,0.00067,0.00067
102,572.341,1.095,0.55379,0.9614,0.8465,0.77911,0.84148,0.45504,1.5593,0.75227,1.18882,0.0006667,0.0006667,0.0006667
103,577.283,1.05168,0.54111,0.94589,0.81195,0.79439,0.85703,0.45001,1.57684,0.75743,1.18204,0.0006634,0.0006634,0.0006634
104,582.516,1.08329,0.5522,0.95274,0.83324,0.77662,0.832,0.43825,1.57957,0.75734,1.2052,0.0006601,0.0006601,0.0006601
105,587.723,1.04599,0.53654,0.94847,0.84417,0.7806,0.84441,0.44815,1.60114,0.69291,1.20248,0.0006568,0.0006568,0.0006568
106,592.667,1.06097,0.53995,0.9473,0.88708,0.77965,0.86307,0.46229,1.59619,0.68603,1.20762,0.0006535,0.0006535,0.0006535
107,597.588,1.07102,0.54244,0.94618,0.83937,0.80937,0.85959,0.45694,1.58961,0.70628,1.21903,0.0006502,0.0006502,0.0006502
